env_package	samp_size	count
	pooled DNA from 8 bees	2
	10.2 g	2
	410	2
	410 mL	2
	0.70 mg	2
	10.1 g	2
	10.02 L	2
	10.01 L	2
	0.670 L	2
	0.68	2
	10,4mg	2
	10,1mg	2
	TN1.2	2
	490 Individuals	2
	137 gr	2
	368	2
	5.17g	2
	PC1.3	2
	1400 mL	2
	347	2
	5.16g	2
	13.5G	2
	122 gr	2
	5.15g	2
	5.14g	2
	132 ml	2
	5.6 L	2
	5.5L	2
	0.53 L	2
	5 replicates	2
	5.6 g	2
	PC1.4	2
	1400ml	2
	1360	2
	5.5	2
	PC1.5	2
	SG1.2	2
	14,9mg	2
	SG1.1	2
	5.13g	2
	134 gr	2
	5.12g	2
	1320	2
	3612	2
	5.18g	2
	SG1.3	2
	HC1.6	2
	130 Individuals	2
	5-20 mL	2
	5.20g	2
	50 gr	2
	5 whole bodies	2
	132 gr	2
	SG1.5	2
	124 gr	2
	Intestines dissected from 2 specimens	2
	1220	2
	Oak tree panel	2
	130 gr	2
	5.23g	2
	122Mbp	2
	140 gr	2
	131 gr	2
	122 ml	2
	SG1.4	2
	PC1.1	2
	136 gr	2
	50 gm	2
	PC1.2	2
	5.8 L	2
	3500 ml	2
	135 gr	2
	5.61 L	2
	139 gr	2
	5.2 L	2
	5.19g	2
	138 ml	2
	123 g	2
	HC1.2	2
	Size250 micron	2
	1300ml	2
	350 Individuals	2
	5 liter	2
	HC1.3	2
	128 gr	2
	141 gr	2
	127 gr	2
	125 gr	2
	Pool of 10 Haemaphysalis bancrofti males	2
	Mixture of genomic DNA extracted from 25 fungal cultures	2
	123 gr	2
	HC1.1	2
	342	2
	133 gr	2
	3642	2
	1210 ml	2
	0.0193 g	2
	125mL	2
	126 gr	2
	5 ng/ul	2
	364	2
	HC1.4	2
	121 gr	2
	0.02 g	2
	Size750 micron	2
	PC1.6	2
	5.0Mb	2
	HC1.5	2
	5.39 L	2
	129 gr	2
	138 gr	2
	0.022 g	2
	Pool of 50 Ixodes holocyclus nymphs	2
	SG1.6	2
	Size30 micron	2
	N/S	2
	46834	1
	46715	1
	5.28g	1
	46386	1
	468 individual	1
	0.0026 g	1
	58590	1
	58 individual	1
	468	1
	4676229	1
	463 individual	1
	585 individual	1
	5000 mL	1
	5.26g	1
	583 individual	1
	5005003326	1
	58411	1
	58 individuals	1
	584 individual	1
	580 ml	1
	464	1
	466 individual	1
	580 mL	1
	580 individual	1
	500g soil	1
	5800632289	1
	58061	1
	5807235	1
	465 ml	1
	46562	1
	46567	1
	58.90 ng	1
	465 individual	1
	466	1
	58,5mg	1
	465	1
	4662978	1
	500747	1
	58,59mg	1
	4648695	1
	4644240296	1
	5.27g	1
	467	1
	464 individual	1
	58 pooled cores (depth 10 cm, diam 5 cm)	1
	58094	1
	500GM	1
	581 individual	1
	0.0036 g	1
	467 individual	1
	582 individual	1
	58210	1
	586 individual	1
	46154	1
	587 individual	1
	46 individual	1
	45mL samples	1
	0.0055855 m2	1
	59543	1
	595 individual	1
	594 individual	1
	46 - 4 cm in any single dimension tissue biopsy	1
	46 L	1
	46 pooled cores (depth 10 cm, diam 5 cm)	1
	58783223	1
	59320	1
	460	1
	0.0049 g	1
	593 individual	1
	592 individual	1
	59132	1
	460 individual	1
	596	1
	596 individual	1
	45mL enrichment cultures	1
	59637528	1
	45895	1
	597329	1
	500 ml washing from leaf and fruit	1
	459 individual	1
	45917	1
	4594767281	1
	45960	1
	597 individual	1
	5.29g	1
	45mL centrifugation cultures	1
	45mL centrifugation enrichment cultures	1
	45mL centrifugation samples	1
	596mL	1
	45mL cultures	1
	59649	1
	591 individual	1
	4605 mL	1
	59084	1
	462	1
	462 individual	1
	462 ml	1
	59 - 4 cm in any single dimension tissue biopsy	1
	46205	1
	46218	1
	0,439892	1
	46249	1
	58mL	1
	58936	1
	5000 L	1
	589 individual	1
	588298333	1
	463	1
	588 individual	1
	58799	1
	59 individual	1
	59 mg	1
	5904725026	1
	59 pooled cores (depth 10 cm, diam 5 cm)	1
	460571	1
	46068	1
	590 mL	1
	46080	1
	590 individual	1
	461	1
	461 individual	1
	4610444	1
	0.0047853 m2	1
	4612166	1
	59.56	1
	58 - 4 cm in any single dimension tissue biopsy	1
	59,29mg	1
	46184042	1
	59,14mg	1
	58 fecal samples (0.1 g/sample)	1
	5 female adults; whole body	1
	0,442947	1
	560 individual	1
	0,456651	1
	56047	1
	560165	1
	0,460667	1
	477	1
	477 individual	1
	560 ml	1
	47714	1
	47794	1
	479 individual	1
	56.6 g dry cryoconite	1
	5.14	1
	478	1
	478 individual	1
	47897	1
	5.11g	1
	5.1 L	1
	50150	1
	561 individual	1
	5611	1
	476Mpb	1
	47695	1
	56208	1
	475	1
	501 ml falcon tube	1
	475 individual	1
	562 individual	1
	476	1
	476 individual	1
	50111	1
	47610	1
	4765 mL	1
	47651	1
	56185	1
	47656	1
	56174	1
	47663	1
	47666	1
	5.15Mb	1
	479	1
	56 species	1
	57mL	1
	502 individual	1
	48 individual	1
	557 individual	1
	48 pooled cores (depth 10 cm, diam 5 cm)	1
	48 samples	1
	502	1
	48.1 g dry cryoconite	1
	55616	1
	502 g	1
	0.04	1
	56 pooled cores (depth 10 cm, diam 5 cm)	1
	556 individual	1
	502 mL	1
	502 ml falcon tube	1
	50207	1
	5.09 mg	1
	480 individual	1
	48005	1
	48032	1
	558 individual	1
	55869	1
	559 individual	1
	55901	1
	47902	1
	56 mg	1
	56 individual	1
	47916	1
	47969	1
	56 L	1
	56 - 4 cm in any single dimension tissue biopsy	1
	0,489524	1
	4797563	1
	55mL	1
	48 - 4 cm in any single dimension tissue biopsy	1
	0,499997	1
	55976	1
	48 L	1
	48 g	1
	48 g dry cryoconite	1
	501mg	1
	563 individual	1
	501 mL	1
	56318	1
	47.3 g dry cryoconite	1
	5732	1
	47 cm diameter core; 0-3cm core depth	1
	5.25	1
	573 individual	1
	47 individual	1
	57117	1
	571 individual	1
	47 pooled cores (depth 10 cm, diam 5 cm)	1
	57095	1
	474 individual	1
	57067	1
	5.24g	1
	470	1
	470 individual	1
	57063	1
	57046	1
	570 mL	1
	570 individual	1
	47 L	1
	574 individual	1
	5746465	1
	57472	1
	579 individual	1
	4685351	1
	0-3cm	1
	469 individual	1
	4690174909	1
	46932	1
	578 individual	1
	5.25g	1
	46976	1
	46998 OTU reads	1
	57772	1
	577 individual	1
	576 individual	1
	0.041	1
	57534	1
	575 individual	1
	47 - 4 cm in any single dimension tissue biopsy	1
	57.7 g dry cryoconite	1
	4702424	1
	470mg	1
	501 individual	1
	5.2 cm x 50 cm	1
	0,447262	1
	56mL	1
	569 individual	1
	568 individual	1
	5679918	1
	473 individual	1
	56782	1
	567 individual	1
	56681	1
	56661	1
	566 individual	1
	565 individual	1
	56477	1
	56455005	1
	474	1
	564 individual	1
	473	1
	47274	1
	57.61 ng/ul	1
	47268	1
	471	1
	471 individual	1
	47106	1
	57.3L	1
	57 pooled cores (depth 10 cm, diam 5 cm)	1
	4710689	1
	4713	1
	47196	1
	57 individual	1
	0,8mg	1
	472 individual	1
	57 - 4 cm in any single dimension tissue biopsy	1
	501	1
	47221	1
	0.0192 g	1
	47225396	1
	501 g	1
	572 individual	1
	5.31g	1
	598 individual	1
	610 mL	1
	446	1
	446 individual	1
	613 individual	1
	612 individual	1
	611 individual	1
	610 ml	1
	0.015 g	1
	0.0118	1
	610 individual	1
	44708	1
	61 pooled cores (depth 10 cm, diam 5 cm)	1
	50 individual	1
	61 mg	1
	4462705	1
	61 individual	1
	446Mpb	1
	447	1
	50-100 ml	1
	61362	1
	4450 ml	1
	445 ml	1
	445 individual	1
	4436646	1
	50 mL of sediment in a conical tube	1
	44375161	1
	61637	1
	616 individual	1
	443834	1
	615 individual	1
	6149305427	1
	4438854	1
	50 mL in a falcon tube	1
	443MB	1
	61400	1
	444	1
	444 individual	1
	0.0148 g	1
	445	1
	614 individual	1
	447 individual	1
	0.0098 g	1
	617 individual	1
	602 individual	1
	605 individual	1
	604 individual	1
	6037558	1
	603 individual	1
	0.017 g	1
	6026027109	1
	4480 mL	1
	50.40 ng	1
	601 individual	1
	0.016 g	1
	50 eggs	1
	44841	1
	0,304578	1
	44866	1
	600mL	1
	449	1
	449 individual	1
	0,306309	1
	6054954675	1
	448 individual	1
	606 individual	1
	60699	1
	4473035146	1
	61 - 4 cm in any single dimension tissue biopsy	1
	0,303160	1
	0.0077	1
	50 gram	1
	60mL	1
	4473434	1
	50.1mL	1
	50.2mL	1
	0,303304	1
	50 gm roots	1
	60956249	1
	609 individual	1
	6083	1
	608 individual	1
	60711	1
	607 individual	1
	61670	1
	4436198	1
	60057	1
	50 x 50 x 3 mm steel coupon	1
	62-31	1
	44.94 ng/ul	1
	62-30	1
	44.98 ng/ul	1
	62-3	1
	62-29	1
	440	1
	62-28	1
	62-27	1
	0.0118 g	1
	62-26	1
	62-25	1
	62-24	1
	440 individual	1
	62-23	1
	4403171442	1
	62-22	1
	62-21	1
	62-32	1
	62-33	1
	62-34	1
	62-35	1
	44 g	1
	62-46	1
	44 individual	1
	62-45	1
	62-44	1
	44 pooled cores (depth 10 cm, diam 5 cm)	1
	62-43	1
	62-42	1
	62-41	1
	44 samples of 2 L	1
	62-40	1
	62-4	1
	62-39	1
	62-38	1
	50 nos	1
	62-37	1
	62-36	1
	62-20	1
	4404534612	1
	443 individual	1
	0.0148	1
	62 pooled cores (depth 10 cm, diam 5 cm)	1
	62 individual	1
	4418683629	1
	62 - 4 cm in any single dimension tissue biopsy	1
	0.0126 g	1
	442 individual	1
	0,289380	1
	61mL	1
	61955	1
	62-2	1
	619 individual	1
	6186	1
	44246	1
	61851	1
	61811	1
	618 individual	1
	44263	1
	443	1
	50,53mg	1
	62,59mg	1
	50 ml activated sludge	1
	62-1	1
	62-19	1
	44097	1
	441	1
	441 individual	1
	62-18	1
	62-17	1
	62-16	1
	62-15	1
	50 mls	1
	62-14	1
	44107	1
	44152	1
	62-13	1
	62-12	1
	62-11	1
	44167	1
	62-10	1
	6006 bp	1
	600 uL	1
	458 individual	1
	500 gr soil samples	1
	6,718,095	1
	6,562,446	1
	5.7 L	1
	500 gr	1
	0,364544	1
	500 gr soil sample	1
	6 sponges	1
	6 mg	1
	6 melons	1
	5.55 L	1
	6 individuals	1
	6 individual	1
	0,369114	1
	0.0071	1
	6 gallons	1
	0,373967	1
	6 cm2	1
	0,375658	1
	45562571	1
	455 individual	1
	6,760,952	1
	5.85 Mb	1
	6.3 g	1
	453 individual	1
	45348679	1
	0,352752	1
	6.27Mb	1
	6.2 L	1
	45384	1
	0.0071 g	1
	45396463	1
	6.05 mg	1
	0,360580	1
	454	1
	0.0187 g	1
	454 individual	1
	6,9mg	1
	5.9	1
	455	1
	6 biological replicates, pooled	1
	0,375857	1
	453	1
	456	1
	0.0059786 m2	1
	0,431649	1
	5.32g	1
	480mL	1
	5.30g	1
	500 ml falcon tube	1
	0,432717	1
	0.019 g	1
	5AM6_D1	1
	5.5 L	1
	456 individual	1
	457	1
	5: (adults=4; chicks=1)	1
	457 individual	1
	59mL	1
	458	1
	599 individual	1
	5987166581	1
	0,422239	1
	0,410956	1
	5cm*5cm	1
	0,406176	1
	500 individual	1
	0.007	1
	500 mL De-ionized water	1
	5.49Mb	1
	0.0069916 m2	1
	0.0068378 m2	1
	6 - 4 cm in any single dimension tissue biopsy	1
	5.4 g	1
	0,377727	1
	0,387959	1
	0,388239	1
	0,403918	1
	5m2	1
	5l	1
	0,406068	1
	0.0064516 m2	1
	0.0062	1
	6.325 L	1
	6.35 L	1
	0,308591	1
	50.9mL	1
	50 c.c.	1
	45 individual	1
	60 insects	1
	45 individuals	1
	60 individual	1
	50.8mL	1
	0.042 g	1
	45 pooled cores (depth 10 cm, diam 5 cm)	1
	0,319497	1
	6.9Mb	1
	0.007155 m2	1
	60 Individuals	1
	45,82mg	1
	60 - 4 cm in any single dimension tissue biopsy	1
	0.0180 g	1
	450 individual	1
	0,332817	1
	450 liters	1
	50.7mL	1
	50.6mL	1
	45 Individuals	1
	0,318720	1
	0,310820	1
	0,318326	1
	50 doses	1
	600 individual	1
	600 gm	1
	44923	1
	50.4mL	1
	50 cysts	1
	60.2 g dry cryoconite	1
	44925	1
	60,82mg	1
	44984	1
	60 pooled cores (depth 10 cm, diam 5 cm)	1
	44Gbp	1
	50.5mL	1
	60 mg	1
	45 - 4 cm in any single dimension tissue biopsy	1
	6.9cm	1
	6.9G	1
	6.4 g	1
	451Mb	1
	0.0071174 m2	1
	6.7 g	1
	6.66 g	1
	45152	1
	45177	1
	4519697	1
	0,351751	1
	45199	1
	6.64Mb	1
	50 Guts per sample	1
	5.975 L	1
	6.50 mg	1
	0,351830	1
	452	1
	452 individual	1
	4520 mL	1
	6.5	1
	0,351970	1
	6.7 g dry cryoconite	1
	4510 mL	1
	6.75 L	1
	0.0182 g	1
	4500 mL	1
	6.93 g	1
	450515898	1
	6.925 L	1
	45060	1
	6.91 L	1
	4509 mL	1
	450mg	1
	0,335907	1
	6.9 L	1
	50 - 4 cm in any single dimension tissue biopsy	1
	6.85 L	1
	451	1
	6.8 L	1
	451 individual	1
	6.8	1
	0,347516	1
	555 mL	1
	48378	1
	555 individual	1
	52255	1
	523 mL	1
	50g4	1
	523 individual	1
	523	1
	5 complete eggs_Sample161	1
	52270	1
	5 complete eggs_Sample162	1
	5 complete eggs_Sample163	1
	5222273425	1
	52316	1
	5 individual adult Tetranuchus evansi females	1
	5 complete eggs_Sample164	1
	52206	1
	522 ml falcon tube	1
	5 complete eggs_Sample165	1
	5 complete eggs_Sample166	1
	522 mL	1
	5 complete eggs_Sample167	1
	523 ml falcon tube	1
	5 complete eggs_Sample160	1
	520 mL	1
	5 complete eggs_Sample156	1
	525 individual	1
	5 complete eggs_Sample152	1
	5 complete eggs_Sample153	1
	525	1
	52482	1
	52470	1
	5 complete eggs_Sample154	1
	5 complete eggs_Sample155	1
	5 complete eggs_Sample157	1
	52337025	1
	524 mL	1
	50g3	1
	5 complete eggs_Sample158	1
	524 individual	1
	5 complete eggs_Sample159	1
	524	1
	5 complete eggs_Sample16	1
	5235196986	1
	522 individual	1
	5 individual	1
	50g5	1
	5 complete eggs_Sample28	1
	5 complete eggs_Sample25	1
	52159	1
	52122	1
	5 complete eggs_Sample26	1
	521.2 mg	1
	521 ml falcon tube	1
	521 mL	1
	5 complete eggs_Sample27	1
	5 complete eggs_Sample29	1
	5 complete eggs_Sample168	1
	5 complete eggs_Sample3	1
	50g7	1
	521 individual	1
	521	1
	520mg	1
	5 complete eggs_Sample30	1
	52026	1
	520 ml falcon tube	1
	5 complete eggs_Sample24	1
	5 complete eggs_Sample23	1
	5 complete eggs_Sample22	1
	5 complete eggs_Sample21	1
	5 complete eggs_Sample169	1
	5 complete eggs_Sample17	1
	5 grams sediment	1
	522	1
	5 complete eggs_Sample170	1
	5 complete eggs_Sample171	1
	5219427698	1
	5216	1
	5 complete eggs_Sample172	1
	5 complete eggs_Sample173	1
	5 complete eggs_Sample174	1
	5 complete eggs_Sample175	1
	50g6	1
	5 complete eggs_Sample18	1
	5 complete eggs_Sample19	1
	5 complete eggs_Sample2	1
	5 complete eggs_Sample20	1
	5 complete eggs_Sample151	1
	5 complete eggs_Sample150	1
	525 mL	1
	5 complete eggs_Sample12	1
	5 complete eggs_Sample113	1
	5 complete eggs_Sample114	1
	5 complete eggs_Sample115	1
	5 complete eggs_Sample116	1
	5 complete eggs_Sample117	1
	528	1
	5 complete eggs_Sample118	1
	5 complete eggs_Sample119	1
	5 complete eggs_Sample120	1
	5 complete eggs_Sample124	1
	5 complete eggs_Sample121	1
	5 complete eggs_Sample122	1
	52719	1
	52713	1
	527 mL	1
	527 individual	1
	50g11	1
	527	1
	5 complete eggs_Sample112	1
	528 individual	1
	5 complete eggs_Sample111	1
	5 complete eggs_Sample110	1
	5 complete eggs_Sample101	1
	52893865	1
	5 complete eggs_Sample102	1
	5 complete eggs_Sample103	1
	5 complete eggs_Sample104	1
	5 complete eggs_Sample105	1
	52869	1
	5 complete eggs_Sample106	1
	0.0249	1
	52857	1
	52826	1
	528 mL	1
	0.0249 g	1
	5 complete eggs_Sample107	1
	5 complete eggs_Sample108	1
	5 complete eggs_Sample109	1
	5 complete eggs_Sample11	1
	5 complete eggs_Sample123	1
	5 complete eggs_Sample125	1
	5 complete eggs_Sample15	1
	5 complete eggs_Sample142	1
	5 complete eggs_Sample138	1
	5258	1
	5 complete eggs_Sample139	1
	52520	1
	5 complete eggs_Sample14	1
	5 complete eggs_Sample140	1
	5250 ml	1
	5 complete eggs_Sample141	1
	5 complete eggs_Sample143	1
	5 complete eggs_Sample126	1
	5 complete eggs_Sample144	1
	5 complete eggs_Sample145	1
	525 mg	1
	5 complete eggs_Sample146	1
	5 complete eggs_Sample147	1
	50g2	1
	5 complete eggs_Sample148	1
	5 complete eggs_Sample149	1
	52591	1
	5 complete eggs_Sample137	1
	5 complete eggs_Sample136	1
	526	1
	50g12	1
	5 complete eggs_Sample127	1
	5 complete eggs_Sample128	1
	5268704268	1
	52670192	1
	5 complete eggs_Sample129	1
	5 complete eggs_Sample13	1
	5 complete eggs_Sample130	1
	52649	1
	5 complete eggs_Sample131	1
	52641	1
	5 complete eggs_Sample132	1
	5 complete eggs_Sample133	1
	5 complete eggs_Sample134	1
	5 complete eggs_Sample135	1
	526 mL	1
	526 individual	1
	50g8	1
	520 individual	1
	529	1
	513 individual	1
	5 complete eggs_Sample79	1
	5 complete eggs_Sample8	1
	513Mpb	1
	513 ml falcon tube	1
	513 mL	1
	5 complete eggs_Sample80	1
	0,579708	1
	5 complete eggs_Sample81	1
	513	1
	5 complete eggs_Sample77	1
	51295	1
	5 g sequenced ~ 10 kg collected	1
	51251	1
	5 complete eggs_Sample82	1
	51249	1
	512.8 mg	1
	512 ml falcon tube	1
	0,52mg	1
	5 complete eggs_Sample78	1
	5 complete eggs_Sample76	1
	5 complete eggs_Sample31	1
	515	1
	515380	1
	5 complete eggs_Sample69	1
	515 ml falcon tube	1
	515 mL	1
	5 complete eggs_Sample7	1
	5 complete eggs_Sample70	1
	5 complete eggs_Sample71	1
	515 individual	1
	5 complete eggs_Sample72	1
	514	1
	51483917	1
	5143624	1
	5 complete eggs_Sample73	1
	514 ml falcon tube	1
	514 mL	1
	514 individual	1
	5 complete eggs_Sample74	1
	5 complete eggs_Sample75	1
	512 mL	1
	512 individual	1
	512	1
	510 ml falcon tube	1
	5 complete eggs_Sample93	1
	5 complete eggs_Sample94	1
	5 complete eggs_Sample95	1
	5 complete eggs_Sample96	1
	5 complete eggs_Sample97	1
	51016	1
	5 complete eggs_Sample98	1
	5 complete eggs_Sample99	1
	0.02607 g	1
	5 complete eggs_Sample83	1
	51 cm diameter core; 0-3cm core depth	1
	5 cubic mm	1
	5 g fresh wt	1
	51 individual	1
	510 mL	1
	51 pooled cores (depth 10 cm, diam 5 cm)	1
	510 individual	1
	510 g	1
	5 complete eggs_Sample92	1
	511	1
	5 complete eggs_Sample91	1
	511 individual	1
	511mg	1
	51 - 4 cm in any single dimension tissue biopsy	1
	51117	1
	5 complete eggs_Sample84	1
	0.0253 g	1
	5 complete eggs_Sample85	1
	5 complete eggs_Sample86	1
	5 complete eggs_Sample87	1
	51103	1
	5 complete eggs_Sample88	1
	0.0258 g	1
	5 complete eggs_Sample89	1
	5 complete eggs_Sample9	1
	511 ml falcon tube	1
	51 L	1
	511 mL	1
	5 complete eggs_Sample90	1
	5 complete eggs_Sample68	1
	516	1
	5 complete eggs_Sample67	1
	5 complete eggs_Sample43	1
	5 gms	1
	52 L	1
	52 - 4 cm in any single dimension tissue biopsy	1
	0,712316	1
	0,637074	1
	0,523042	1
	51mL	1
	5 complete eggs_Sample42	1
	5 complete eggs_Sample44	1
	519050	1
	5 complete eggs_Sample45	1
	5 complete eggs_Sample46	1
	5 complete eggs_Sample47	1
	5 complete eggs_Sample48	1
	51L	1
	51997	1
	0,598254	1
	5 complete eggs_Sample49	1
	50l	1
	5 complete eggs_Sample41	1
	5 complete eggs_Sample40	1
	5 complete eggs_Sample4	1
	5 complete eggs_Sample32	1
	5 complete eggs_Sample33	1
	0.025 g	1
	52.65 ng/ul	1
	52,98mg	1
	5 complete eggs_Sample34	1
	52 samples from 13 subjects (4 samples per subject)	1
	52 pooled cores (depth 10 cm, diam 5 cm)	1
	5 complete eggs_Sample35	1
	5 complete eggs_Sample36	1
	50g9	1
	50gms	1
	5 complete eggs_Sample37	1
	52 mg	1
	5 complete eggs_Sample38	1
	52 individual	1
	5 complete eggs_Sample39	1
	5191712	1
	51901	1
	5 complete eggs_Sample66	1
	5 complete eggs_Sample6	1
	5 complete eggs_Sample57	1
	0.0250 g	1
	50ml_thawed_debris	1
	51658	1
	5 complete eggs_Sample58	1
	5 complete eggs_Sample59	1
	51600	1
	516 ml falcon tube	1
	5 complete eggs_Sample60	1
	519 ml falcon tube	1
	5 gallons	1
	5 complete eggs_Sample61	1
	516 mL	1
	5 complete eggs_Sample62	1
	516 individual	1
	5 complete eggs_Sample63	1
	5 complete eggs_Sample64	1
	5 complete eggs_Sample65	1
	517	1
	517 individual	1
	517 mL	1
	517 ml falcon tube	1
	519 mL	1
	519 individual	1
	519	1
	5 complete eggs_Sample5	1
	51809	1
	518 ml falcon tube	1
	5 complete eggs_Sample50	1
	518 mL	1
	518 individual	1
	5 complete eggs_Sample51	1
	5 complete eggs_Sample52	1
	5 complete eggs_Sample53	1
	5 complete eggs_Sample54	1
	51752	1
	5 complete eggs_Sample55	1
	5 complete eggs_Sample56	1
	51734	1
	5 complete eggs_Sample100	1
	5 complete eggs_Sample10	1
	480mg	1
	545 individual	1
	504 mL	1
	546	1
	54582	1
	504 ml falcon tube	1
	54573	1
	49 mg	1
	54543	1
	545 mL	1
	545	1
	504 individual	1
	5449927	1
	54434253	1
	504235	1
	54409	1
	544 mL	1
	544 individual	1
	544	1
	504mg	1
	546 individual	1
	546 mL	1
	506mg	1
	548 individual	1
	548808706	1
	48925	1
	48934	1
	54867	1
	48979	1
	548 mL	1
	48994976	1
	4899958959	1
	5-50 mL sludge	1
	49 individual	1
	548	1
	547 mL	1
	547 individual	1
	49 - 4 cm in any single dimension tissue biopsy	1
	547	1
	49 L	1
	54670	1
	54643887	1
	54338	1
	5432981932	1
	543 mL	1
	50613	1
	50527	1
	540 individual	1
	505mg	1
	506	1
	506 g	1
	506 individual	1
	506 mL	1
	506 ml falcon tube	1
	49,096	1
	5-10ml	1
	49.3mL	1
	49.5mL	1
	54.8 g dry cryoconite	1
	54.37 ng/ul	1
	54 pooled cores (depth 10 cm, diam 5 cm)	1
	54 individuals sampled	1
	54 individual	1
	49.85 ng/ul	1
	5052	1
	540 milligrams	1
	540 ml	1
	54076	1
	505	1
	543 individual	1
	505 g	1
	543	1
	542Mpb	1
	54260	1
	54206	1
	505 individual	1
	505 mL	1
	505 ml falcon tube	1
	542 mL	1
	49 pooled cores (depth 10 cm, diam 5 cm)	1
	542 individual	1
	542	1
	541 mL	1
	541 individual	1
	541	1
	549	1
	549 individual	1
	549 mL	1
	553 mL	1
	503	1
	5539637900	1
	510	1
	55342	1
	484	1
	55312	1
	484 individual	1
	48449322	1
	503 g	1
	485 individual	1
	5.00 mg	1
	503 individual	1
	553 individual	1
	55260992	1
	484794	1
	503 mL	1
	484mL	1
	55254	1
	554 individual	1
	48311	1
	4830962	1
	502mg	1
	5022271	1
	481	1
	554Mpb	1
	55448	1
	5541	1
	481 individual	1
	48118109	1
	55405	1
	554 mL	1
	48131	1
	48188	1
	482	1
	482 individual	1
	48252	1
	483	1
	483 individual	1
	5.01Mb	1
	485	1
	485 ml	1
	54mL	1
	488 individual	1
	504	1
	487 individual	1
	550 individual	1
	550	1
	55.6 g dry cryoconite	1
	55.2L	1
	55,28mg	1
	55 pooled cores (depth 10 cm, diam 5 cm)	1
	504 g	1
	55222 OTU reads	1
	55 ml	1
	55 individual	1
	489	1
	489 individual	1
	48922	1
	55 L	1
	55 - 4 cm in any single dimension tissue biopsy	1
	0,507223	1
	503mg	1
	50393 bp	1
	550 ml	1
	55063	1
	4850354	1
	0.0200 g	1
	552 mL	1
	486	1
	503 ml falcon tube	1
	552 individual	1
	486 individual	1
	48623	1
	55163	1
	55144	1
	551 mL	1
	50372	1
	62-47	1
	551 individual	1
	487	1
	551	1
	0,501914	1
	49.8mL	1
	49.9mL	1
	5 complete eggs_Sample1	1
	531	1
	532	1
	5 plants per replicates, 3 replicates per ecotypes	1
	4gm	1
	5318	1
	4mg	1
	53172	1
	531 mL	1
	531 individual	1
	508 ml falcon tube	1
	532 individual	1
	50810	1
	5 plants per replicates, 3 replicates per WT or mutant	1
	0.031	1
	5 plants per replicates, 3 replicates	1
	5 pieces K1 media	1
	50829	1
	50888	1
	50889112	1
	0.032	1
	532 mL	1
	507	1
	53365	1
	4988633179	1
	499	1
	534	1
	499 individual	1
	4991907402	1
	5339214657	1
	49984	1
	49mL	1
	5336	1
	53205	1
	5335832	1
	533 mL	1
	4AM5_D1	1
	533 individual	1
	0.021	1
	533	1
	5323599562	1
	4cm2	1
	508mg	1
	509	1
	5 ml culture in marine broth	1
	0,804332	1
	53 L	1
	509mg	1
	5 litres	1
	53 - 4 cm in any single dimension tissue biopsy	1
	0,519326	1
	0.0242 g	1
	52mL	1
	5297	1
	52955	1
	509 g	1
	50g1	1
	5 biological replicates, pooled	1
	529 mL	1
	529 individual	1
	5 cells	1
	0.0277	1
	5 cm2	1
	50g10	1
	5 melons	1
	5 mg	1
	5 - 4 cm in any single dimension tissue biopsy	1
	0.02_g	1
	509 individual	1
	509 mL	1
	509 ml falcon tube	1
	530 mL	1
	530 individual	1
	530	1
	0.0219 g	1
	4mm X 10 mm	1
	4mm X 10.5 mm	1
	4mm X 11 mm	1
	4mm X 8.6 mm	1
	4mm core	1
	53,5mg	1
	53 pooled cores (depth 10 cm, diam 5 cm)	1
	50964387	1
	53 individual	1
	0.03	1
	49876138	1
	4982955823	1
	534 individual	1
	507mg	1
	53716	1
	490mg	1
	491	1
	537 mL	1
	537 individual	1
	491 individual	1
	507 ml falcon tube	1
	4916273	1
	491672	1
	53633582	1
	492	1
	537	1
	53681	1
	492 individual	1
	49231	1
	49234	1
	49285	1
	492Mpb	1
	538	1
	538 individual	1
	538 mL	1
	53857	1
	50 pooled cores (depth 10 cm, diam 5 cm)	1
	54 L	1
	54 - 4 cm in any single dimension tissue biopsy	1
	507 g	1
	0,515716	1
	490 individual	1
	507 individual	1
	53mL	1
	490 mL	1
	5,885,223	1
	490 ml	1
	539.5 mg	1
	507 mL	1
	539 mL	1
	539 individual	1
	49099	1
	539	1
	53671	1
	493	1
	534 mL	1
	49603	1
	535 mL	1
	0.0208 g	1
	535 individual	1
	508 mL	1
	496	1
	535	1
	53473324	1
	496 individual	1
	4963817074	1
	536 mL	1
	5 to 10 million cells	1
	497	1
	497 individual	1
	53461	1
	5340627293	1
	4976	1
	498	1
	498 individual	1
	535 patients; 3-4 mm diameter biopsy	1
	49585	1
	5350 ml	1
	5350339644	1
	508	1
	493 individual	1
	5,349,677	1
	536 individual	1
	49317	1
	536	1
	49376	1
	508 g	1
	49393	1
	494	1
	53545	1
	53520446	1
	494 individual	1
	495	1
	508 individual	1
	495 individual	1
	49549389	1
	0.9mm	1
	76021	1
	62-48	1
	Y01_30m_20μm	1
	Y11_13m_20μm	1
	Y11_10m_3μm	1
	Y11_10m_20μm	1
	Y03_50m_3μm	1
	Y03_50m_20μm	1
	Y03_3m_3μm	1
	Y03_3m_20μm	1
	Y03_30m_3μm	1
	Y03_30m_20μm	1
	Y01_3m_3μm	1
	Y01_3m_20μm	1
	Y01_30m_3μm	1
	Y01_20m_3μm	1
	Y11_30m_20μm	1
	Y01_20m_20μm	1
