env_package	samp_collect_device	count
	supplementation with gossypol replicate = biological replicate 1	2
	B_fermenter_1	2
	B_fermenter_2	2
	Sampling port, plastic bottles	2
	Aspi/ELFES (ROV suction device/scraper)	2
	Aseptic manual collection	2
	PoreStrip(Negative)	2
	sugarcane bagasse	2
sediment	push core	2
	Positive control made by taking equimolar concentrations of insect from diet items given to Antrozous pallidus bats	2
	pump sample (orig)	2
	Week 3 HVAC filter	2
	0.2 micrometer Sterivex filters	2
	C_fermenter_2	2
	air filteration	2
	grab sample very fine muddy sediment	2
	grab sample sandy sediment	2
	grab sample fine grain sediment	2
	grab sample fine grain organic rich sediment	2
	grab sample coarse sand sediment	2
	Pushcore	2
	anaerobe	2
	No template controls were run at the same time that PCRs were being run using biological samples.	2
	Biosampler unit	2
	aseptic excision	2
	1: GF Filter | 2:CN Filter	2
	Sediment mini-cores (24 mm diameter) sampled by scuba divers.	2
	Niskin bathometer	2
	After oral administration of luxS mutant cells to mice, the large intestine was enucleated.	2
	isolated from a Pythium soft-rot (PSR) infected ginger rhizome by plating surface-sterilised pieces of rhizome on selective V8 agar	2
	C_fermenter_1	2
	RAAS 2.5-200 Audit Sampler	2
	grab sample very fine sediment	2
	Production well biofilm	2
	Week 2 HVAC filter	2
	tangential flow filtration	2
	Week 18 HVAC filter	2
	Week 14 HVAC filter	2
	swab	2
	Week 12 HVAC filter	2
	a few pieces of brick was randomly selected from the upper, middle, and lower parts of Daqu. The samples were crushed and mixed at low temperature.	2
	Week 10 HVAC filter	2
	Week 1 HVAC filter	2
	P. micropora cells were harvested by low-speed centrifugation (500 x g, 2 minutes) at 4 degrees C. The harvested cells were passed through miracloth (Merk Millipore, Darmstadt, Germany) and 20 micrometer mesh-filter (HD-20, Nippon Rikagaku kikai co. Ltd, Tokyo, Japan) to eliminate contaminating bacteria that were enriched in the dead P. micropora cell aggregates larger than 20 micrometer, and followed by the washing with 10 mM Tris-HCl (pH8.0) three times, and with 10 mM Tris-HCl (pH8.0) plus 10 mM EDTA six times. Next, to remove the cell debris smaller than 5 micrometer, the cells were trapped on 5 micrometer mesh-filter (PP-5n, Kyoshin Rikoh Inc, Tokyo, Japan) and washed with 5 ml TE buffer. The recovered cells were kept at -80 degrees C.	2
	Sampled into a 1.5 mL of eppendorf tube	2
	Spearfishing	2
	Snorkel	2
	Sample were collected with sterille seringe (100 ml volume)	2
	Bottle, 0-0.5 m depth	2
	polycarbonate filter	2
	Sample collection tubes were used to collect sputum from patients	2
	Wide mouth white collection bottle	2
	Wood pruning	2
	Alfalfa leaves from ten individual plants were randomly collected in both ecosystems. Samples were maintained and transported on ice to the lab and stored at -80C until processing.	2
	sterile devises used	2
	20 um filter	2
	same_24	2
	sediment box corer	2
microbial mat_biofilm	stomacher	2
	same_17	2
	same_18	2
	444	2
	Flockedswab nasopharynx	2
	sediment corer	2
	Fluorescence-activated Cell Sorting (FACS)	2
	sediment sampler	2
	Lightweight diving equipment	2
	Steryle gloves adn tubes	2
	same_19	2
	Library 3 HVAC Filter	2
	same_20	2
	same_21	2
	Stock	2
	77	2
	Dry filter blank	2
	see description for each library!	2
	Drilling	2
	same_22	2
	Double guarded swab	2
	Laboratory created	2
	Core	2
	Frozen	2
	Colony purification	2
	same_16	2
	soil coring	2
	MFC10	2
	MFC19	2
	111	2
	ddH2O	2
	MFC18	2
	MFC17	2
	MFC16	2
	MFC15	2
	MFC14	2
	MFC13	2
	MFC12	2
	MFC11	2
	MFC1	2
	UV mutagenesis	2
	soil sampling tools	2
	Urine_-20C_0h	2
	same_11	2
	same_12	2
	collection of DNA	2
	collection of Humus	2
	water filtration	2
	same_13	2
	collection of flow from the end of the pipe	2
	same_14	2
	same_15	2
	same_23	2
	same_25	2
	MFC20	2
	72	2
	control group rumen fluid replicate = biological replicate 1	2
	63	2
	control group rumen fluid replicate = biological replicate 2	2
	D_fermenter_2	2
	Through joint clearance surgery	2
	Guano was scooped into a sterile 15mL conical using a sterile scoop and fresh gloves	2
water	250 l of seawater were collected by using Niskin bottles mounted on a General Oceanics rosette from a depth of 3,010 m (sea-bottom at 3,243 m depth) at the Ionian Km3 station November 17th 2004 during a cruise of the R/V Urania. Seawater was sequentially filtered through a 5 m pore size polycarbonate filter and the filtrate passed through 0.22 m pore size Sterivex filters (Durapore, Millipore) using a peristaltic pumping system. Sterivex filters were filled with lysis buffer (40 mM EDTA, 50 mM Tris/ HCl, 0.75M sucrose) and stored at −20C, until DNA extraction.	2
	3um-B	2
	D_fermenter_1	2
	64	2
	control group rumen fluid replicate = biological replicate 3	2
	enrichment culture and isolation	2
	control group rumen fluid replicate = biological replicate 4	2
	3um-S	2
	TV Grab	2
	65	2
	Hand Picked	2
	cored	2
	cotton swabs	2
wastewater_sludge	Anaerobic Sample collection (Nalgene bottles filled till brim)	2
	coring device	2
	Hand pump. 300ml	2
	DNeasy PowerBiofilm Kit	2
	69	2
	68	2
	0.4 micron filter	2
	62	2
	Granular sludge separated based on its colour	2
	70	2
	Kemmerer bottle	2
	71	2
	KIPS	2
microbial mat_biofilm	electric borehole drill	2
	Suction sampler on ROV	2
	6.5 cm diameter sediment core was collected	2
	60	2
	Garrett metal screen	2
microbial mat_biofilm	Lysimetre	2
	K-File, Paper point	2
	Jerry can	2
	IwaiBombyxDNA.20121204	2
	1 liter Nalgene bottle	2
	Glass wool filter	2
	container 1	2
	snow negative control	2
	Glue(Negative)	2
	Transphonation	2
	61	2
	container 2	2
	Swab taken of plastic used to collect sample	2
	Swab(Negative)	2
	container 3	2
	Swabs	2
	MFC2	2
	67	2
	MFC21	2
	spatula and cryotube	2
	same_09	2
	same_10	2
	Using Spade and soil hand-sorting	2
	Collected from Grocery 5	2
	spon	2
	1 L bottle filled up with MilliQ water	2
	specimen cup	2
	53	2
	MW113 swab (Advantage Bundling)	2
	same_06	2
	MUC	2
	Sterile, 2L glass bottle	2
	Electronic pump. 500ml	2
	54	2
	collected from grocery store	2
	MN9	2
	56	2
	57	2
	same_07	2
	same_05	2
	Collected from School 3	2
	same_01	2
	F_fermenter_2	2
	FastDNATM SPIN Kit	2
	Chemotaxis method	2
	F_fermenter_1	2
	333	2
	Sterile scoop	2
	saved at -80 degree	2
	Classroom HVAC Filter	2
	directly collected	2
	same_04	2
	Fecal samples were immediately frozen and stored at -20°C in the field and later stored at −80◦C in the lab	2
	Cloacal swabs	2
	50 mL sterile Falcon tube	2
	same_02	2
	same_03	2
	chemostat from GLUT_THPS experiment	2
	50 ml Falcon tube maintained at -20degrees	2
	clinical specimen	2
	58	2
	same_08	2
	MFC25	2
	MFC22	2
	MFC8	2
	MFC7	2
	MFC6	2
	MFC5	2
	MFC4	2
	dilution plate technique	2
	MFC3	2
	Collected from School 6	2
	MFC24	2
	MFC23	2
	59	2
	MFC9	2
	swab-33	1
	V361MGQ-016ortho	1
	V244FGQ-023ortho	1
	V340FS080para	1
	not_applicable_71	1
	not applicable12	1
	swab-27	1
	swab-20	1
	swab-21	1
	swab-34	1
	swab-28	1
	water bottles	1
	V244FGQ-030ortho	1
	not_applicable_70	1
	swab-29	1
	swab-3	1
	V244MGQ-009ortho	1
	V360MGQ-014ortho	1
	no_template_control_sorting_rep_2	1
	no_template_control_sorting_rep_3	1
	swab-30	1
	not_applicable_72	1
	swab-26	1
	V243MS094para	1
	no_template_control_PCR_rep_10	1
	V243FGQ-021ortho	1
	no_template_control_PCR_rep_12	1
	nasal swabs	1
	not_applicable_75	1
	not_applicable_74	1
	V359MGQ-011ortho	1
	V341FGQ-052ortho	1
	swab-35	1
	V234MS065amber	1
	not_applicable_73	1
	no_template_control_extraction_rep_3	1
	V360FGQ-054para	1
	no_template_control_magnetic_rep_9	1
	V341FGQ-050ortho	1
	V340MS097para	1
	no_template_control_sorting_rep_12	1
	not applicable13	1
	swab-2	1
	no_template_control_sorting_rep_6	1
	no_template_control_sorting_rep_9	1
	voluntary fecal samples	1
	V249FGQ-018amber	1
	swab-22	1
	not applicable10	1
	not applicable1	1
	V248MGQ-022ortho	1
	not_applicable_84	1
	not_applicable_69	1
	V361FGQ-012ortho	1
	not_applicable_85	1
	V339MS107para	1
	V233FS103para	1
	V249MS074amber	1
	V250FS093para	1
	V339MS087para	1
	V361FS072para	1
	V339MS073 D/Opara	1
	V233FS102para	1
	V250MGQ-047amber	1
	V233FS101para	1
	not applicable11	1
	V233FS104para	1
	V361FGQ-004ortho	1
	V233MS077amber	1
	V251FGQ-015ortho	1
	water swab sample	1
	swab-31	1
	not_applicable_7	1
	V243FGQ-013ortho	1
	original	1
	V339MS063para	1
sediment	5ml Eppendorf vial	1
	V245FGQ-029amber	1
	V355FS105para	1
	swab-32	1
	V246MS075amber	1
	V247FS108para	1
	V233FS068amber	1
	not_applicable_87	1
	V247MGQ-044amber	1
	whirlpack bag	1
	V248FGQ-007ortho	1
	V350FS093para	1
	V241FGQ-052ortho	1
	V343FGQ-013ortho	1
	V238FS069amber	1
	no_template_control_PCR_rep_9	1
	V351FGQ-015amber	1
	V352FGQ-020amber	1
	no_template_control_PCR_rep_8	1
	no_template_control_extraction_rep_5	1
	not_applicable_90	1
	water column	1
	not_applicable_79	1
	V353MS085para	1
	V238FS099para	1
	V347MGQ-044para	1
	V355FGQ-043para	1
	V357FGQ-017amber	1
	no_template_control_PCR_rep_7	1
	V347FS108para	1
	V357MGQ-038para	1
	V358MS096para	1
	no_template_control_extraction_rep_9	1
	~1L fluids collected with 0.2 micron Sterivex filter, glass slides collected from ambient mine tunnel	1
	not_applicable_82	1
	V236FS078amber	1
	V357FGQ-039para	1
	V350MGQ-047para	1
	V359FGQ-036para	1
	V348FGQ-007ortho	1
	V349MS074ortho	1
	V349FGQ-018para	1
	water filtered through 0.2um filter	1
	V236FS100para	1
	no_template_control_extraction_rep_10	1
	V236MGQ-033amber	1
	no_template_control_extraction_rep_1	1
	water filter	1
	V237FGQ-026amber	1
	not_applicable_81	1
	not_applicable_9	1
	not_applicable_80	1
	V237FS070amber	1
	V237MS088amber	1
	V348MGQ-022ortho	1
	no_template_control_extraction_rep_6	1
	V238FGQ-051ortho	1
	not_applicable_8	1
	no_template_control_extraction_rep_8	1
	V238FS066amber	1
	V252FGQ-020ortho	1
	V359FGQ-003ortho	1
	no_template_control_magnetic_rep_12	1
	no_template_control_extraction_rep_11	1
	swab-23	1
	V239MS063para	1
	swab-25	1
	no_template_control_magnetic_rep_6	1
	V344FGQ-023ortho	1
	V343MS094para	1
	V239MS073 D/Oamber	1
	V239MS087amber	1
	no_template_control_extraction_rep_12	1
	not_applicable_78	1
	not_applicable_83	1
	not_applicable_77	1
	no_template_control_PCR_rep_3	1
	not_applicable_76	1
	no_template_control_PCR_rep_14	1
	V239MS107para	1
	no_template_control_PCR_rep_13	1
	V235FGQ-049amber	1
	V240FS080amber	1
	V240MS097para	1
	V241FGQ-050ortho	1
	V343FGQ-021amber	1
	not_applicable_86	1
	V239MGQ-056amber	1
	V238MS067amber	1
	no_template_control_magnetic_rep_4	1
	V238MS079ortho	1
	swab-24	1
	water sample	1
	not_applicable_89	1
	not_applicable_88	1
	V346MS075para	1
	V357FGQ-010ortho	1
	Ω	1
	V356FS095para	1
	V236FGQ-025ortho	1
	V235MS098para	1
	V239FGQ-032ortho	1
	no_template_control_extraction_rep_4	1
	not_applicable_91	1
	V345FGQ-029para	1
	V235FGQ-053ortho	1
	V344MGQ-009ortho	1
	V344FGQ-030para	1
	no_template_control_PCR_rep_6	1
	V239FGQ-037amber	1
	no_template_control_PCR_rep_5	1
	water drawing	1
	not_applicable_17	1
	not applicable14	1
	take water sample with cylinder	1
	V333FS102para	1
	V333FS101para	1
	V265MS081amber	1
	not applicable45	1
	not_applicable_3	1
	not_applicable_29	1
	not_applicable_28	1
	V269FGQ-002ortho	1
	not applicable46	1
	not applicable47	1
	not applicable48	1
	not applicable49	1
	not applicable5	1
	not applicable50	1
	the next-generation DNA sequencing techniques (Ilumina sequencing)	1
	not applicable51	1
	not applicable52	1
	V333FS068para	1
	not applicable53	1
	V332MS091para	1
	not_applicable_27	1
	not_applicable_26	1
	V270MS086 D/Oamber	1
	treat 3.3	1
	time-weighted automated sampler	1
	V332MS064para	1
	treat 3.2	1
	not_applicable_30	1
	not applicable44	1
	V271FGQ-042amber	1
	not_applicable_31	1
	not_applicable_37	1
	not applicable36	1
	V261FGQ-004ortho	1
	swab-9	1
	not applicable37	1
	not applicable38	1
	V261FGQ-012ortho	1
	not applicable39	1
	not_applicable_36	1
	not applicable4	1
	not_applicable_35	1
	V261FS072amber	1
	V261MGQ-016ortho	1
	V262FGQ-041ortho	1
	V263FGQ-048amber	1
	not_applicable_34	1
	not_applicable_33	1
	V263MS106para	1
	not applicable40	1
	tweezers, manual	1
	V264MS083amber	1
	V333FS104para	1
	V333FS103para	1
	not applicable41	1
	not applicable42	1
	not_applicable_32	1
	not applicable43	1
	not applicable54	1
	not applicable55	1
	swab-8	1
	V273FS089amber	1
	not_applicable_21	1
	treat 2.3	1
	V274FGQ-019ortho	1
	V326FS090para	1
	not_applicable_11	1
	treat 2.2	1
	not_applicable_20	1
	V325MGQ-001ortho	1
	V324MGQ-045para	1
	transplantation	1
	V319MGQ-008ortho	1
	treat 2.1	1
	manual	1
	V274FGQ-035amber	1
	not_applicable_12	1
	treat 0	1
	not_applicable_2	1
	not_applicable_19	1
	V278MGQ-028amber	1
	V279FGQ-031amber	1
	treat 1.1	1
	not_applicable_13	1
	treat 1.3	1
	not_applicable_14	1
	not_applicable_15	1
	not_applicable_18	1
	not_applicable_16	1
	not_applicable_10	1
	top layer of owl nest deposit	1
	not applicable56	1
	V327FS109para	1
	V271FGQ-055amber	1
	not applicable57	1
	not_applicable_25	1
	not applicable58	1
	V332MGQ-057para	1
	not_applicable_24	1
	V271FGQ-058amber	1
	not_applicable_23	1
	not applicable59	1
	not applicable6	1
	not applicable60	1
	V332MGQ-024ortho	1
	not_applicable_22	1
	not applicable7	1
	not applicable8	1
	not applicable9	1
	V331MGQ-034para	1
sediment	Ekmagrab	1
	not recorded	1
	V329MGQ-040para	1
	treat 3.1	1
	not_applicable_1	1
	V273FGQ-027amber	1
	tooth scrapings	1
	V329MGQ-006ortho	1
sediment	Sediment grab sampler	1
	top 2 cm of soil	1
	not_applicable_38	1
	V333MS077para	1
	not applicable15	1
	swab-44	1
	V338MS079para	1
	swab-45	1
	swab-46	1
	not applicable23	1
	not applicable24	1
	not_applicable_62	1
	not applicable25	1
	swab-47	1
	treat 1.2	1
	not applicable27	1
	V256FS095para	1
	V257FGQ-010ortho	1
	swab-48	1
	not applicable28	1
	V338MS067para	1
	not_applicable_61	1
	not_applicable_60	1
	not_applicable_6	1
	not_applicable_59	1
	not_applicable_58	1
	V338FS099para	1
	V338FS069para	1
	not applicable29	1
	not_applicable_57	1
	V338FS066para	1
	V338FGQ-051ortho	1
	not_applicable_56	1
	not applicable22	1
	swab-43	1
	V337FS070para	1
	not applicable21	1
	V339MGQ-056para	1
	not_applicable_68	1
	not applicable16	1
	swab-36	1
	swab-37	1
	V339FGQ-037para	1
	V339FGQ-032amber	1
	swab-38	1
	not applicable17	1
	V253MS085amber	1
	V255FGQ-043amber	1
	swab-39	1
	not_applicable_67	1
	not_applicable_66	1
	not applicable18	1
	not_applicable_65	1
	not_applicable_64	1
	swab-4	1
	not_applicable_63	1
	swab-40	1
	venom-gland dissection	1
	not applicable19	1
	V255FS105para	1
	not applicable2	1
	swab-41	1
	swab-42	1
	not applicable20	1
	V337MS088para	1
	not_applicable_55	1
	V334MS065para	1
	V336FGQ-025ortho	1
	using sampling instrument	1
	not_applicable_44	1
	swab-54	1
	V335MS098para	1
	not_applicable_43	1
	not_applicable_42	1
	not applicable31	1
	upper 10 cm of the mineral soil	1
	swab-55	1
	not_applicable_41	1
	not_applicable_40	1
	not_applicable_4	1
	not applicable32	1
	V335FGQ-053ortho	1
	V260MGQ-014ortho	1
	swab-56	1
	V335FGQ-049para	1
	swab-57	1
	swab-58	1
	swab-59	1
	not_applicable_39	1
	not applicable33	1
	not applicable34	1
	swab-6	1
	underwater operators	1
	not applicable35	1
	swab-7	1
	swab-53	1
	V336FS078para	1
	V257FGQ-017ortho	1
	V260FGQ-054amber	1
	V337FGQ-026para	1
	V257FGQ-039amber	1
	not_applicable_54	1
	V336MGQ-033para	1
	not_applicable_53	1
	V257MGQ-038amber	1
	not_applicable_52	1
	not_applicable_51	1
	not_applicable_50	1
	V258MS096para	1
	not_applicable_5	1
	not_applicable_49	1
	swab-49	1
	not_applicable_48	1
	swab-5	1
	swab-50	1
	V336FS100para	1
	not_applicable_47	1
	swab-51	1
	swab-52	1
	V259FGQ-003ortho	1
	not_applicable_46	1
	not applicable3	1
	V259FGQ-036amber	1
	not_applicable_45	1
	not applicable30	1
	V259MGQ-011ortho	1
	not applicable26	1
	dissection en bloc	1
	swab-19	1
	soil corer (2.5 cm diameter)	1
	column, sliced 10-15cm, flash-frozen	1
	column, sliced 15-20cm, flash-frozen	1
	column, sliced 20-25cm, flash-frozen	1
	filter16	1
	filter15	1
	filter14	1
	filter13	1
	collection tube for faecal samples	1
	filter12	1
	filter11	1
	column, sliced 5-10cm, flash-frozen	1
soil	iron pipe	1
	nylon brush	1
	column, sliced top 5cm, flash-frozen	1
	colony maintained	1
	soil driller	1
	columns, sliced 2-4cm, Lifeguard preservation	1
	filter23	1
	filter26	1
	collected sediments and stored them anaerobically	1
	collected sludge and stored it anaerobically	1
	collected though a pipeline from approximately 20 m depth	1
	filter25	1
	filter24	1
	soil sampling	1
	collection of larvae during larval culture	1
water	Ekman grab	1
	filter22	1
	filter21	1
	collection of cecal contents	1
	collection of feces	1
	filter20	1
	soil cored aseptically	1
	feed solution RNA-X0	1
	slurp on board DSV Jason	1
	constant RNA-H1	1
water	CTD-rosette water sampler	1
	constant DNA-H1	1
	constant DNA-H15	1
	constant DNA-H4	1
	constant DNA-H9	1
	same_28	1
	same_29	1
	concentrated RNA-N4	1
	constant RNA-H15	1
	constant RNA-H4	1
	constant RNA-H9	1
	same_30	1
	extracted DNA	1
	exposed group 2nd	1
	concentrated RNA-N9	1
	concentrated RNA-N15	1
	feed solution DNA-X0	1
	soil and organic matter filled mesh bags	1
	columns, sliced top 2 cm, Lifeguard preservation	1
	columns, sliced top 2cm, flash-frozen	1
	soil core borer	1
	fecal samples obtained fresh from birds	1
	composite sample	1
human-gut	stool kit	1
	fecal dna extraction mpbio kit	1
	concentrated RNA-N1	1
	same_26	1
	same_27	1
	concentrated DNA-N1	1
	concentrated DNA-N15	1
	concentrated DNA-N4	1
	concentrated DNA-N9	1
	filter27	1
	filter28	1
	filter29	1
	bronchoalveolar lavage R medial	1
	root	1
	sterile conical tube	1
	sterile collection bag	1
	bronchoalveolar lavage R caudal	1
	root core	1
	sterile callipers	1
	root cores	1
	floating mat maintained in lab culture for 2 months	1
	rotating knife	1
	bronchoalveolar lavage left side	1
	fishing rod	1
	fine forceps	1
	filtration, 0.1 µm pore size	1
	bronchoalveolar lavage right side	1
	floating mat fixed in ethanol	1
soil	auger	1
	collected from the pylorus	1
	bottle, kept at 4 degrees	1
	blood sample was drawn aseptically by heart puncture from the fish and inoculated into the medium	1
	blood was sampled from the jugular vein	1
	flow cell 2-2	1
	flow cell 2-1	1
	flow cell 1-7	1
	bottle, 5µm filtration, DESS preservation	1
	bottle, kept at 4 degrees, enrichment at 20degrees for 3 months on top of sediment column	1
	flow cell 1-1	1
	bottle, kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months on top of sediment column with addition of FeMnS	1
	bottle, kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months on top of sediment column with addition of FeMnS and OM	1
	bottle, kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months on top of sediment column with addition of OM	1
	bottle, kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3months on top of sediment column	1
	flow cell 1-4	1
	flow cell 1-2	1
	rumen canuala	1
water	MS-SID in situ replicate 3	1
water	MS-SID in situ replicate 2	1
	coassembly	1
	sterile 1L bottle, lowered to collect surface water	1
	sterile	1
	chemostat from corrosion inhibitor experiment	1
	chisel and hammer	1
	filteration	1
	coarse mesh bags	1
	collected by hand	1
	filtering seawater	1
	squezing	1
	spore isolation	1
	filter31	1
	filter30	1
	collected from a borehole into sterile container	1
	collected from growing media	1
	sterile 50 ml tubes	1
	saliva, expectorate in tube	1
	sterile DNA-free swab	1
water	MS-SID in situ replicate 1	1
	catching	1
	carcass-washing methods	1
	filtered water (PCR negative control)	1
	filtering	1
	cannulated	1
	cannula	1
	sterile Nasco whirl-pak	1
	caecal contents scrapped out using sterile glass slides	1
	by-hand	1
	sterile Whirl-Pak	1
	sterile adhesive tape	1
	burried rock from rhizosphere	1
host-associated	pincers	1
	exposed group 1st	1
	same_31	1
	blood collection	1
	damaiyeDSSzu4	1
	duizhaoDSSzu2	1
	damaiyeDSSzu1	1
	damaiyeDSSzu11	1
	damaiyeDSSzu12	1
	damaiyeDSSzu2	1
	damaiyeDSSzu3	1
	damaiyeDSSzu5	1
	cutting with scissors	1
	damaiyeDSSzu7	1
	damaiyeDSSzu8	1
	damaiyeDSSzu9	1
	damaiyezu1	1
	damaiyezu10	1
	damaiyezu12	1
	sectioned core, light brown mud grading into darker gray, some organics	1
	duizhaoDSSzu4	1
	damaiyezu4	1
	duizhaozu10	1
	duizhaozu5	1
	duizhaozu4	1
	duizhaozu3	1
	cut whole leaves	1
	duizhaozu2	1
	duizhaozu12	1
	duizhaozu1	1
	duizhaoDSSzu5	1
	duizhaoDSSzu9	1
	duizhaoDSSzu8	1
	same_49	1
	duizhaoDSSzu7	1
	same_50	1
	samp_collect_device	1
	damaiyezu2	1
	damaiyezu5	1
	esophegeal intubation	1
	scraper	1
	sampling bage	1
	scrapping surfaces with sterile spatulas	1
	sampling port from primary wastewater treatment plant into plastic containers - ex-situ processing; small-volume samples flash frozen in cryogenic tubes for in-situ processing	1
	scraping of river biofilm using sterilized cotton swab	1
	drill hole	1
	scraper-flocked swab method	1
	sampling port, flasks	1
	direct soil collection	1
	sampling tube	1
	dormer soil sampler	1
	diving and snorkeling	1
	dissection of empty intestines	1
	dissect gut and collect the gut content	1
	dissection following euthanasia	1
	samples were obtained from sludge of pond	1
	dry sediment stored dry and frozen	1
	damaiyezu6	1
	duizhaoDSSzu11	1
	damaiyezu7	1
	damaiyezu8	1
	damaiyezu9	1
	duizhaoDSSzu12	1
	deep submergence vehicle	1
	defecation	1
	depth integrated across one secchi depth	1
	seawater filtration on 0.2micrometer polycarbonate filter	1
	duizhaoDSSzu10	1
	diffusive microbial samplers	1
	sectioned core, finer grained mud, still light brown	1
	direct collect	1
	duizhaoDSSzu1	1
	secateurs	1
	shovel and 50 mL aseptic Falcon tubes	1
	cut directly from the wheat plant	1
	duizhaozu6	1
	enrichment	1
	same_40	1
	same_41	1
	enteral feeding pouch	1
water	CTD Rosette	1
	core augers, diameter 58mm, to a depth of 10 cm	1
water	CTD	1
	shovel9	1
	skin dissection	1
	shovel8	1
	same_42	1
	shovel7	1
	cores	1
	same_43	1
	shovel6	1
	single colony plating	1
	control group 2nd	1
	shovel1	1
	same_36	1
	same_32	1
	same_33	1
	same_34	1
	V232MS064para	1
	eraser	1
	same_35	1
	control for natural brine = artificial medium, enrichment for 3 months on sediment (sterile sand/clay) column with addition of FeMnS and OM	1
	control group 1st	1
	same_37	1
	same_38	1
	same_39	1
	control for natural sediment (= sterile sand/clay), enrichment at 20 degrees for 3 months in column with addition of FeMnS and OM, sliced 0.5-2cm, flash-frozen	1
	control for natural sediment (= sterile sand/clay), enrichment at 20 degrees for 3 months in column with addition of FeMnS and OM, sliced 2-5cm, flash-frozen	1
	control for natural sediment (= sterile sand/clay), enrichment at 20 degrees for 3 months in column with addition of FeMnS and OM, sliced top 0.5cm, flash-frozen	1
	same_44	1
	same_45	1
wastewater_sludge	Anaerobic Sample collection (Sealed glass bottle)	1
	shovel14	1
	shovel19	1
	shovel18	1
	shovel17	1
	shovel16	1
	culture	1
	shovel15	1
	culture on the motified MRS plate	1
	same_46	1
	shovel13	1
	shovel12	1
	duizhaozu9	1
	shovel11	1
	shovel10	1
	duizhaozu7	1
	shovel2	1
	shovel20	1
	earth boring auger	1
	electric chainsaw	1
	shovel21	1
	shovel22	1
	shovel23	1
	shovel24	1
	crabs	1
	shovel25	1
	shovel26	1
	same_48	1
	shovel27	1
	shovel3	1
	shovel4	1
	shovel5	1
	same_47	1
	blood culture	1
	flow cell 2-4	1
	oropharyngeal swabs	1
sediment	manned submersible Jiaolonghao	1
	melted ice	1
	WestBay sampler	1
	surface sediment kept at 4 degrees, enrichment at 20degrees for 3 months in column, sliced top 0.5cm, flash-frozen	1
	surface sediment kept at 4 degrees, enrichment at 20degrees for 3 months in column, sliced 2-5cm, flash-frozen	1
	picked nodules and washed; surface sterilized	1
	picked roots and washed	1
	picked roots and washed; surface sterilized	1
	surface sediment kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months in column with addition of FeMnS and OM, sliced 2-5cm, flash-frozen	1
	picked stems	1
	picked stems and surface sterilized	1
	pig envelope	1
	surface sediment kept at 4 degrees, enrichment at 20degrees for 3 months in column, sliced 0.5-2cm, flash-frozen	1
	surface sediment kept at 4 degrees	1
	mat core sample	1
	surface sediment kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months in column with addition of FeMnS and OM, sliced 0.5-2cm, flash-frozen	1
	picked nodules and washed	1
	surber sampler	1
	Water from lab	1
	pick leaves	1
	surface sediment kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months in column, sliced 0.5-2cm, flash-frozen	1
	picked leaves and surface sterilize	1
	surface sediment kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months in column with addition of OM, sliced top 0.5cm, flash-frozen	1
	Water collected with Niskin bottles on a line	1
	surface sediment kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months in column with addition of OM, sliced 2-5cm, flash-frozen	1
	surface sediment kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months in column with addition of OM, sliced 0.5-2cm, flash-frozen	1
	Webb	1
	surface sediment kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months in column with addition of FeMnS, sliced top 0.5cm, flash-frozen	1
	surface sediment kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months in column with addition of FeMnS, sliced 2-5cm, flash-frozen	1
	surface sediment kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months in column with addition of FeMnS, sliced 0.5-2cm, flash-frozen	1
	surface sediment kept at 4 degrees, used as inoculum for enrichment at 20degrees for 3 months in column with addition of FeMnS and OM, sliced top 0.5cm, flash-frozen	1
	Water was used in place of template DNA to make a negative control of amplicon library preparation	1
	We collected soil samples from the top 20 cm of each plot. Litter horizons were removed before soil sampling. 12 soil cores, 4.5 cm in diameter and 20 cm deep, were collected at regular distances along each transect and then mixed to form one sample.	1
	surface pump	1
	Whatman GF/F 0.70 micrometer glass fiber filter and Qiagen DNeasy Blood and Tissue kit	1
	Zymo_mock_community_PCR_rep_4	1
	plankton nets	1
	With soil corer	1
	plankton net tow	1
	subsurface water 20	1
	ZYMObiomics mock community gDNA standard	1
	Zip lock cover	1
	subsurface water 2	1
	Zymo_mock_community_PCR_rep_1	1
	Winkler	1
	Zymo_mock_community_PCR_rep_10	1
	Zymo_mock_community_PCR_rep_11	1
	Zymo_mock_community_PCR_rep_12	1
	Zymo_mock_community_PCR_rep_13	1
	Zymo_mock_community_PCR_rep_14	1
	Zymo_mock_community_PCR_rep_2	1
	subsurface water 3	1
	subsurface water 4	1
	surber sample	1
	subsurface water 8	1
	manulally and aseptically collected	1
	manual/tweezers	1
	suction sampler	1
	plankon tow	1
	suction pump (Gardena)	1
	subsurface water 9	1
